generator,sample_size,replication,training_time,final_loss,final_term1,final_term2,n_epochs,mmd,two_sample_min_p,two_sample_mean_p,two_sample_rejected,mean_distance,cov_frobenius,cov_trace
"Normal(μ=0, σ=1)",100,0,1.375547170639038,0.544017288684845,1.0353828048706055,0.9827311730384827,33,0.0,0.8154147124661313,0.8154147124661313,0,0.044635921716690063,0.1789833328529168,0.1789833328529168
"Normal(μ=0, σ=1)",100,1,0.1805431842803955,0.5494239902496338,1.0633287715911866,1.027809844017029,40,0.0,0.9084105017744525,0.9084105017744525,0,0.05025402083992958,0.10564881459784592,0.10564881459784592
"Normal(μ=0, σ=1)",100,2,0.11626338958740234,0.5338343274593353,1.0391920185089112,1.0107151651382447,25,0.0,0.36818778606286096,0.36818778606286096,0,0.10734382271766663,0.021513783627621574,0.021513783627621574
"Normal(μ=0, σ=1)",500,0,1.0359938144683838,0.6009766278266907,1.1894839000701904,1.1770144662857056,40,0.0,0.978250151785604,0.978250151785604,0,0.0026653194800019264,0.11388889319655804,0.11388889319655804
"Normal(μ=0, σ=1)",500,1,0.3446540832519531,0.5567274904251098,1.0929964561462402,1.0725379056930542,19,0.013320623791712293,0.2919248807417811,0.2919248807417811,0,0.06730754673480988,0.07885886619813975,0.07885886619813975
"Normal(μ=0, σ=1)",500,2,0.32825803756713867,0.5772431311607361,1.1327960605621339,1.1111058769226074,18,0.0,0.5089169658042532,0.5089169658042532,0,0.038350582122802734,0.030261436631129124,0.030261436631129124
Exponential(λ=1.00),100,0,0.18198299407958984,0.5635233354568482,1.1357690286636353,1.1444912672042846,41,0.0,0.36818778606286096,0.36818778606286096,0,0.14737451076507568,0.29428999647756626,0.29428999647756626
Exponential(λ=1.00),100,1,0.21323585510253906,0.4731897485256195,0.9308899974822998,0.9154004979133606,47,0.0,0.36818778606286096,0.36818778606286096,0,0.10301792621612549,0.0849329448128493,0.0849329448128493
Exponential(λ=1.00),100,2,0.23714375495910645,0.5489033436775208,1.0800799608230591,1.0623533201217652,50,0.0,0.8154147124661313,0.8154147124661313,0,0.12400263547897339,0.50564700453962,0.50564700453962
Exponential(λ=1.00),500,0,0.6271581649780273,0.4944943475723267,0.9693303155899048,0.9496718764305114,31,0.0,0.8636766933110154,0.8636766933110154,0,0.0205003023147583,0.02381321881424825,0.02381321881424825
Exponential(λ=1.00),500,1,0.5129318237304688,0.48574150013923645,0.9390232973098754,0.9065635423660279,27,0.0,0.9351121874342835,0.9351121874342835,0,0.03551185131072998,0.18861660762786914,0.18861660762786914
Exponential(λ=1.00),500,2,0.4621760845184326,0.496399151802063,0.9872708220481873,0.9817433452606201,22,0.0,0.5600220048872044,0.5600220048872044,0,0.0387386679649353,0.052849128370776266,0.052849128370776266
"Uniform(0, 2)",100,0,0.2569000720977783,0.3398599398136139,0.6946596431732178,0.7095993900299072,48,0.0,0.469506448503778,0.469506448503778,0,0.008450090885162354,0.01358039899669633,0.01358039899669633
"Uniform(0, 2)",100,1,0.21730613708496094,0.3504317045211792,0.6762716603279114,0.6516798520088196,50,0.15113151870713498,0.05390207893129876,0.05390207893129876,0,0.0008461475372314453,0.051177419776618494,0.051177419776618494
"Uniform(0, 2)",100,2,0.18844890594482422,0.33812790393829345,0.703695228099823,0.7311345720291138,42,0.0,0.36818778606286096,0.36818778606286096,0,0.09420812129974365,0.0961027707519787,0.0961027707519787
"Uniform(0, 2)",500,0,0.7687571048736572,0.32831423306465146,0.6778751454353332,0.6991218109130859,39,0.0,0.19804212658711798,0.19804212658711798,0,0.053505003452301025,0.031058159525805984,0.031058159525805984
"Uniform(0, 2)",500,1,0.8551962375640869,0.3426059505939484,0.6910951781272888,0.6969784550666809,43,0.0,0.25760726053364696,0.25760726053364696,0,0.007228255271911621,0.03737434034013204,0.03737434034013204
"Uniform(0, 2)",500,2,0.6048142910003662,0.33865228152275084,0.68713853597641,0.6969724936485291,33,0.05614235311255934,0.058689209417416795,0.058689209417416795,0,0.05907958745956421,0.03565985553615891,0.03565985553615891
